group_type,group,sex,age_bin,count,raw_mae,tta_mae,tta_gain_raw_mae_minus_tta_mae,tta_gain_bootstrap_95_ci,tta_signed_bias,tta_error_rate_gt12,tta_error_rate_gt18,disagreement_mean,disagreement_median,disagreement_p95,spearman_rho,spearman_strength,spearman_pvalue,spearman_bootstrap_95_ci,auc_error_gt12,auc_error_gt18,spearman_bh_qvalue
overall,overall,ALL,ALL,14036,6.317470714420157,6.210446212895747,0.10702450152440918,"[0.07752998393157431, 0.13609339987800217]",-0.09300814088031599,0.13066400683955542,0.04174978626389285,1.709391064399508,1.558582553458353,3.252461869728724,0.2004311168255934,weak,3.756857184166575e-127,"[0.18423812463397596, 0.21641110728266894]",0.6258138850255524,0.6341076163771775,
sex,F,F,ALL,6430,6.536692177637554,6.458097061109766,0.07859511652778875,"[0.03544937670249398, 0.12266308160814503]",-0.27852273872814487,0.14136858475894246,0.042768273716951785,1.7269403673923773,1.584495416314112,3.164615657044569,0.14621738702096498,weak,4.6153265325877903e-32,"[0.12236675229906452, 0.1699610989598115]",0.5888451913476078,0.6008129384831253,
sex,M,M,ALL,7606,6.132144129028641,6.001085845552055,0.1310582834765876,"[0.09280956374260449, 0.17023795981736914]",0.0638231586413169,0.12161451485669209,0.04088877202208783,1.6945551429895487,1.5275392416571107,3.3227145797626694,0.23860973014845982,weak,6.17642131423364e-99,"[0.21664421783847812, 0.25991633043433593]",0.6575654235286027,0.6616591992489239,
sex_age,F:0-59,F,0-59,419,5.917375960611785,5.886469309768131,0.030906650843654303,"[-0.1265499102927054, 0.18217432377162043]",0.6618413838680154,0.09307875894988067,0.016706443914081145,1.6648071547188619,1.4376124287810192,3.259190121688593,-0.017428959684957675,very_weak,0.7220479141833244,"[-0.11360869840229709, 0.0783678920595842]",0.5078947368421053,0.7111650485436893,0.7220479141833244
sex_age,F:60-119,F,60-119,2294,6.8053576777889715,6.857886414166212,-0.052528736377240266,"[-0.1300953521745142, 0.019758400908738965]",1.1286335511943415,0.16521360069747165,0.046207497820401046,1.8263402788390217,1.679167829628161,3.201558824317735,0.11460189192352749,weak,3.71077928216341e-08,"[0.0743086347708138, 0.1545321842897446]",0.5785997230584815,0.5863371391121383,7.42155856432682e-08
sex_age,F:120-179,F,120-179,3352,6.3909131188950274,6.204844304997484,0.18606881389754476,"[0.12217345634337518, 0.24958537461934038]",-0.9106844863345344,0.12649164677804295,0.038484486873508354,1.6924421804618621,1.564158378817174,3.11579115219841,0.15363777789720842,weak,3.7221809931067307e-19,"[0.12057602145909219, 0.18611658276244103]",0.5978016419218476,0.632132901360618,1.4888723972426923e-18
sex_age,F:180-228,F,180-228,365,6.8978599652852095,6.927407993682441,-0.029548028397233517,"[-0.16872709143651726, 0.11087744872210754]",-4.3963937482441935,0.18356164383561643,0.09041095890410959,1.490360482029877,1.2739837797990703,3.056340502103285,0.3564496585830519,moderate,2.2431689741764737e-12,"[0.26019138187436897, 0.4448957941321365]",0.6167484724030852,0.5471887550200804,5.981783931137263e-12
sex_age,M:0-59,M,0-59,476,6.195098484263701,5.903079195583567,0.2920192886801327,"[0.1473836352845198, 0.4398117864632805]",2.6567925324960924,0.11974789915966387,0.029411764705882353,1.6355632876241566,1.4960057937153803,3.0948659899335222,0.14551395136008724,weak,0.0014558048591193284,"[0.05548916962177423, 0.23011695395119763]",0.6298622451115856,0.6542980828695115,0.001663776981850661
sex_age,M:60-119,M,60-119,1587,8.055172497773967,7.9313478951793694,0.12382460259459775,"[0.026641032411830957, 0.22495627655048447]",1.6480460038933276,0.21613106490233144,0.08191556395715185,2.051637701409734,1.8830733735974308,3.666320573073122,0.08704100579037595,very_weak,0.0005178971165631676,"[0.038663385182177164, 0.13716362588528955]",0.5730081651401948,0.5757879731798743,0.0006905294887508901
sex_age,M:120-179,M,120-179,4681,5.569230299478819,5.439069777669827,0.1301605218089918,"[0.08211982649632252, 0.1787633293761423]",-0.28199277183892923,0.09442426831873531,0.03225806451612903,1.6389451351861466,1.4541608066607852,3.230653344203184,0.25892984831799265,weak,1.3862437141091146e-72,"[0.23251512866770677, 0.284807421309453]",0.6713260512436233,0.656045787465462,1.1089949712872917e-71
sex_age,M:180-228,M,180-228,862,5.61379997802168,5.55343214066012,0.06036783736156041,"[-0.036337734895072124, 0.15579690424306267]",-2.406769308634533,0.0962877030162413,0.018561484918793503,1.3717019521181066,1.120077850397319,3.2058214898200754,0.16849495924192814,weak,6.510628812971014e-07,"[0.10300261818944066, 0.23726678515789718]",0.6333420975300431,0.7304964539007093,1.0417006100753622e-06
