view,age_bin,count,model,mae
clean,0-59,895,base,6.058881804396986
clean,0-59,895,c,6.556463789273907
clean,0-59,895,blend,6.254855216255401
clean,60-119,3881,base,7.363896172122223
clean,60-119,3881,c,7.599745007588426
clean,60-119,3881,blend,7.446552807818488
clean,120-179,8033,base,5.964313185587479
clean,120-179,8033,c,5.819160430083814
clean,120-179,8033,blend,5.790055006519433
clean,180-228,1227,base,5.651807771043847
clean,180-228,1227,c,5.958123963347468
clean,180-228,1227,blend,5.730821234929241
artifact,0-59,895,base,6.551212259644236
artifact,0-59,895,c,6.852670820864885
artifact,0-59,895,blend,6.470352218627931
artifact,60-119,3881,base,8.108318601125173
artifact,60-119,3881,c,7.802886453740101
artifact,60-119,3881,blend,7.598698969592571
artifact,120-179,8033,base,7.0619123134283
artifact,120-179,8033,c,5.921461565266299
artifact,120-179,8033,blend,6.038707865569358
artifact,180-228,1227,base,6.136639577155204
artifact,180-228,1227,c,6.169379385875899
artifact,180-228,1227,blend,5.928334036145448
