view,scheme,groups,model,mae,delta_vs_baseline,delta_ci_low,delta_ci_high
clean,ordinary_micro,1,base,6.330013979327206,0.0,0.0,0.0
clean,ordinary_micro,1,c,6.3706596825122155,0.040645703185009374,-0.005849686379648624,0.08872170177203158
clean,ordinary_micro,1,blend,6.272541777452331,-0.057472201874874784,-0.09247128577529938,-0.022942581278606915
clean,age_macro,4,base,6.259724733287634,0.0,0.0,0.0
clean,age_macro,4,c,6.483373297573404,0.22364856428577085,0.13902933229807662,0.30731045712652905
clean,age_macro,4,blend,6.305571066380641,0.04584633309300745,-0.01796054843917427,0.10926216308331224
clean,sex_macro,2,base,6.347396119598349,0.0,0.0,0.0
clean,sex_macro,2,c,6.390398975122293,0.04300285552394456,-0.003437533834159914,0.08971589491930691
clean,sex_macro,2,blend,6.291664727150337,-0.05573139244801162,-0.09106328572512634,-0.020946281198465668
clean,age_sex_macro,8,base,6.359788463540466,0.0,0.0,0.0
clean,age_sex_macro,8,c,6.593470230571963,0.23368176703149768,0.1438848346676392,0.3229938723647239
clean,age_sex_macro,8,blend,6.410017983263195,0.0502295197227296,-0.017423844607868805,0.11734598612937508
clean,fold_age_macro,20,base,6.259631082189314,0.0,0.0,0.0
clean,fold_age_macro,20,c,6.483213509881097,0.22358242769178283,0.13973727741006636,0.3077222239451253
clean,fold_age_macro,20,blend,6.305459067936878,0.045827985747564526,-0.016446755780378942,0.10871794351123512
artifact,ordinary_micro,1,base,7.237796939176928,0.0,0.0,0.0
artifact,ordinary_micro,1,c,6.522732400391373,-0.7150645387855548,-0.7974503524896595,-0.6326621680220296
artifact,ordinary_micro,1,blend,6.487925483266592,-0.7498714559103359,-0.8151452450083679,-0.6864673431923193
artifact,age_macro,4,base,6.964520687838228,0.0,0.0,0.0
artifact,age_macro,4,c,6.686599556436796,-0.27792113140143204,-0.39146275926709406,-0.16613071483343744
artifact,age_macro,4,blend,6.509023272483827,-0.4554974153544018,-0.5426534636197392,-0.36757624259609645
artifact,sex_macro,2,base,7.254330430656276,0.0,0.0,0.0
artifact,sex_macro,2,c,6.543220989520547,-0.7111094411357293,-0.7939002958573862,-0.6277399973982816
artifact,sex_macro,2,blend,6.507754620060463,-0.7465758105958136,-0.8121159426202913,-0.6823682089076509
artifact,age_sex_macro,8,base,7.0674665550786475,0.0,0.0,0.0
artifact,age_sex_macro,8,c,6.809991037566591,-0.25747551751205666,-0.3734936389441004,-0.14368034266406937
artifact,age_sex_macro,8,blend,6.627704513086245,-0.43976204199240243,-0.5309870165519978,-0.3501122897679059
artifact,fold_age_macro,20,base,6.964330344425848,0.0,0.0,0.0
artifact,fold_age_macro,20,c,6.68638582487282,-0.2779445195530279,-0.3907835636697496,-0.16757047428571994
artifact,fold_age_macro,20,blend,6.508858845927877,-0.4554714984979711,-0.544967855825309,-0.3675747309844474
